Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"FAMILY EXPRESS 41",-86.835915,40.376781,"3350 US Highway 52 S","","Lafayette","IN","47905","7701","TIPPECANOE" 
"COATESVILLE FOOD STORE",-86.669792,39.68726,"5047 Milton St","","Coatesville","IN","46121","9706","PUTNAM" 
"MARSH SUPERMARKET  83",-86.281769,39.823223,"6965 W 38th St","","Indianapolis","IN","46254","3905","MARION" 
"MARSH SUPERMARKET  03",-86.537827,39.186951,"1825 N Kinser Pike","","Bloomington","IN","47404","1914","MONROE" 
"STRACK & VAN TIL 8797",-87.33532,41.421021,"10851 Broadway","","Crown Point","IN","46307","7303","LAKE" 
"7-ELEVEN 32582",-85.975334,41.690849,"429 N Main St","","Elkhart","IN","46516","3042","ELKHART" 
"WALGREENS 09710",-85.896423,38.314075,"200 Lafollette Sta S","","Floyds Knobs","IN","47119","9776","FLOYD" 
"Circle K 14",-85.638359,39.013519,"1660 N State St","","North Vernon","IN","47265","7479","JENNINGS" 
"Circle K 68",-85.635818,39.011379,"790 N State St","","North Vernon","IN","47265","1004","JENNINGS" 
"KROGER J-980",-86.066765,40.001122,"14800 Hazel Dell Xing","","Noblesville","IN","46062","6982","HAMILTON" 
"Circle K 6",-85.880745,38.958206,"601 E Tipton St","","Seymour","IN","47274","3519","JACKSON" 
"Circle K 17",-86.043785,38.876518,"107 W Commerce St","","Brownstown","IN","47220","1903","JACKSON" 
"Circle K 101",-85.848991,38.958218,"2119 E Tipton St","","Seymour","IN","47274","3569","JACKSON" 
"7-ELEVEN",-86.194946,41.709373,"910 W Douglas Rd","","Mishawaka","IN","46545","1434","ST JOSEPH" 
"CVS Pharmacy 8646",-86.24987,41.750549,"51467 Indiana State Route 933","","South Bend","IN","46637","1617","ST JOSEPH" 
"CVS Pharmacy 8631",-86.308693,41.671898,"4403 W Western Ave","","South Bend","IN","46619","2640","ST JOSEPH" 
"CVS Pharmacy 8640",-86.132118,39.912636,"1616 E 86th St","","Indianapolis","IN","46240","2359","MARION" 
"CVS Pharmacy 8639",-87.407654,39.433823,"670 Margaret Ave","","Terre Haute","IN","47802","3950","VIGO" 
"CVS Pharmacy 8642",-86.21936,41.698601,"2051 S Bend Ave","","South Bend","IN","46637","5686","ST JOSEPH" 
"CVS Pharmacy 8518",-87.436295,41.537418,"3835 45th St","","Highland","IN","46322","3009","LAKE" 
"CVS Pharmacy 8677",-86.26815,41.692921,"1333 Portage Ave","","South Bend","IN","46616","1509","ST JOSEPH" 
"CVS 8650",-87.379776,39.470791,"2440 Wabash Ave","","Terre Haute","IN","47807","3310","VIGO" 
"CVS Pharmacy 8690",-86.132492,39.680668,"5920 Madison Ave","","Indianapolis","IN","46227","4775","MARION" 
"CVS Pharmacy 8637",-86.27018,39.81546,"3350 N High School Rd","","Indianapolis","IN","46224","","MARION" 
"CVS 8665",-86.582123,39.164688,"3910 W 3rd St","","Bloomington","IN","47404","4867","MONROE" 
"DC MEATS, INC",-86.090729,41.663322,"1711 Lincolnway W","","Osceola","IN","46561","1949","ST JOSEPH" 
"Circle K 15",-86.246902,39.205894,"211 S Van Buren St","","Nashville","IN","47448","7038","BROWN" 
"Circle K 5",-86.171631,39.188862,"2356 E State Road 46","","Nashville","IN","47448","9249","BROWN" 
"Circle K 64",-85.479553,39.336941,"101 N Lincoln St","","Greensburg","IN","47240","2102","DECATUR" 
"MARATHON GAS AND FOOD",-87.406998,39.448231,"1701 S 7th St","","Terre Haute","IN","47802","2315","VIGO" 
"Circle K 53",-85.841484,39.1675,"3461 S US Highway 31","","Columbus","IN","47201","9687","BARTHOLOMEW" 
"Circle K 60",-85.904167,39.2155,"1644 Central Ave","","Columbus","IN","47201","5307","BARTHOLOMEW" 
"CARNICERIA GUANAJUATO",-86.045784,39.812744,"3110 N Shadeland Ave","","Indianapolis","IN","46226","6295","MARION" 
"Circle K 61",-85.894638,39.200783,"262 N Gladstone Ave","","Columbus","IN","47201","7045","BARTHOLOMEW" 
"Circle K 63",-85.930588,39.188148,"760 Jonesville Rd","","Columbus","IN","47201","","BARTHOLOMEW" 
"Circle K 10",-85.875504,39.223492,"4005 25th St","","Columbus","IN","47203","3162","BARTHOLOMEW" 
"Grounded Organic & Natural Foods",-86.945473,38.376339,"323 US 231 S","","Jasper","IN","47546","","DUBOIS" 
"MR FRESH",-86.192039,41.672958,"725 W Jefferson Blvd","","Mishawaka","IN","46545","5843","ST JOSEPH" 
"VIRK'S BP AMOCO",-86.898361,41.710396,"1204 Franklin St","","Michigan City","IN","46360","3704","LA PORTE" 
